Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
358;Keinohrhasen;Keinohrhasen;2007;Til Schweiger;;Germany;Nein;;Barefoot Films, Warner Bros. Entertainment Germany;Drama, Comedy, Romance;;https://www.youtube.com/watch?v=2GuO_M7gEgc;https://www.youtube.com/watch?v=2GuO_M7gEgc;filmster://result?id=358;https://filmster.b-cdn.net/358/Filmster_358_DE_Video-1.mp4;https://filmster.b-cdn.net/358/Filmster_358_EN_Video-1.mp4;https://filmster.b-cdn.net/358/Filmster_358_DE_Video-2.mp4;https://filmster.b-cdn.net/358/Filmster_358_EN_Video-2.mp4;https://filmster.b-cdn.net/358/Filmster_358_DE_Video-3.mp4;https://filmster.b-cdn.net/358/Filmster_358_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_358_QR.png
359;Kokowääh;Kokowääh;2011;Til Schweiger;Numan Acar, Meret Becker, Gode Benedix;Germany;Nein;6,3;Barefoot Films, Béla Jarzyk Production, Sat.1;Comedy;;https://www.youtube.com/watch?v=kenoyAhTsYI;https://www.youtube.com/watch?v=kenoyAhTsYI;filmster://result?id=359;https://filmster.b-cdn.net/359/Filmster_359_DE_Video-1.mp4;https://filmster.b-cdn.net/359/Filmster_359_EN_Video-1.mp4;https://filmster.b-cdn.net/359/Filmster_359_DE_Video-2.mp4;https://filmster.b-cdn.net/359/Filmster_359_EN_Video-2.mp4;https://filmster.b-cdn.net/359/Filmster_359_DE_Video-3.mp4;https://filmster.b-cdn.net/359/Filmster_359_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_359_QR.png
360;Manta, Manta;Manta, Manta;1991;Wolfgang Büld;Til Schweiger, Tina Ruland, Stefan Gebelhoff;Germany;Nein;5,7;Constantin Film, ZDF;Comedy;;https://www.youtube.com/watch?v=dNjVb7etE3g;https://www.youtube.com/watch?v=dNjVb7etE3g;filmster://result?id=360;https://filmster.b-cdn.net/360/Filmster_360_DE_Video-1.mp4;https://filmster.b-cdn.net/360/Filmster_360_EN_Video-1.mp4;https://filmster.b-cdn.net/360/Filmster_360_DE_Video-2.mp4;https://filmster.b-cdn.net/360/Filmster_360_EN_Video-2.mp4;https://filmster.b-cdn.net/360/Filmster_360_DE_Video-3.mp4;https://filmster.b-cdn.net/360/Filmster_360_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_360_QR.png
361;Hui Buh – Das Schlossgespenst;Hui Buh, das Schlossgespenst;2006;Sebastian Niemann;Michael Herbig, Christoph Maria Herbst, Heike Makatsch;Germany;Nein;4,8;Rat Pack Filmproduktion, Medienfonds GFP, Constantin Film;Animation, Adventure, Comedy;;https://www.youtube.com/watch?v=4ECa-BUCg8o;https://www.youtube.com/watch?v=4ECa-BUCg8o;filmster://result?id=361;https://filmster.b-cdn.net/361/Filmster_361_DE_Video-1.mp4;https://filmster.b-cdn.net/361/Filmster_361_EN_Video-1.mp4;https://filmster.b-cdn.net/361/Filmster_361_DE_Video-2.mp4;https://filmster.b-cdn.net/361/Filmster_361_EN_Video-2.mp4;https://filmster.b-cdn.net/361/Filmster_361_DE_Video-3.mp4;https://filmster.b-cdn.net/361/Filmster_361_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_361_QR.png
362;T)Raumschiff Surprise – Periode 1;(T)Raumschiff Surprise - Periode 1;2004;Michael Bully Herbig;Michael Herbig, Rick Kavanian, Christian Tramitz;Germany;Nein;5,5;Constantin Film, herbX film;Comedy, Sci-Fi;;https://www.youtube.com/watch?v=W6pn_y6a98E;https://www.youtube.com/watch?v=W6pn_y6a98E;filmster://result?id=362;https://filmster.b-cdn.net/362/Filmster_362_DE_Video-1.mp4;https://filmster.b-cdn.net/362/Filmster_362_EN_Video-1.mp4;https://filmster.b-cdn.net/362/Filmster_362_DE_Video-2.mp4;https://filmster.b-cdn.net/362/Filmster_362_EN_Video-2.mp4;https://filmster.b-cdn.net/362/Filmster_362_DE_Video-3.mp4;https://filmster.b-cdn.net/362/Filmster_362_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_362_QR.png
363;7 Zwerge – Der Wald ist nicht genug;7 Zwerge - Der Wald ist nicht genug;2006;Sven Unterwaldt Jr.;;Germany;Nein;;Universal Pictures;Comedy, Fantasy;;https://www.youtube.com/watch?v=yuFY_A5tyso;https://www.youtube.com/watch?v=yuFY_A5tyso;filmster://result?id=363;https://filmster.b-cdn.net/363/Filmster_363_DE_Video-1.mp4;https://filmster.b-cdn.net/363/Filmster_363_EN_Video-1.mp4;https://filmster.b-cdn.net/363/Filmster_363_DE_Video-2.mp4;https://filmster.b-cdn.net/363/Filmster_363_EN_Video-2.mp4;https://filmster.b-cdn.net/363/Filmster_363_DE_Video-3.mp4;https://filmster.b-cdn.net/363/Filmster_363_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_363_QR.png
364;Bibi & Tina: Voll verhext!;Bibi & Tina - Voll verhext!;2014;Detlev Buck;Lina Larissa Strahl, Lisa-Marie Koroll, Louis Held;Germany;Nein;5,2;Boje Buck Produktion GmbH, DCM Pictures, ZDF, Kiddinx Filmproduktion;Adventure, Family;;https://www.youtube.com/watch?v=tT5XaAPnkwg;https://www.youtube.com/watch?v=tT5XaAPnkwg;filmster://result?id=364;https://filmster.b-cdn.net/364/Filmster_364_DE_Video-1.mp4;https://filmster.b-cdn.net/364/Filmster_364_EN_Video-1.mp4;https://filmster.b-cdn.net/364/Filmster_364_DE_Video-2.mp4;https://filmster.b-cdn.net/364/Filmster_364_EN_Video-2.mp4;https://filmster.b-cdn.net/364/Filmster_364_DE_Video-3.mp4;https://filmster.b-cdn.net/364/Filmster_364_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_364_QR.png
365;Bibi & Tina: Mädchen gegen Jungs;Bibi & Tina - Mädchen gegen Jungs;2016;Detlev Buck;Lina Larissa Strahl, Lisa-Marie Koroll, Louis Held;Germany;Nein;5,4;Boje Buck Produktion GmbH, Kiddinx Filmproduktion, ZDF, DCM Pictures;Adventure, Comedy, Family;;https://www.youtube.com/watch?v=happrPnXMX0;https://www.youtube.com/watch?v=QBn0G6ehXEw;filmster://result?id=365;https://filmster.b-cdn.net/365/Filmster_365_DE_Video-1.mp4;https://filmster.b-cdn.net/365/Filmster_365_EN_Video-1.mp4;https://filmster.b-cdn.net/365/Filmster_365_DE_Video-2.mp4;https://filmster.b-cdn.net/365/Filmster_365_EN_Video-2.mp4;;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_365_QR.png
366;Bibi & Tina: Tohuwabohu Total;Bibi & Tina: Tohuwabohu total;2017;Detlev Buck;;Germany;Nein;;DCM Pictures, Boje Buck Produktion GmbH;Comedy, Fantasy, Adventure, Family;;https://www.youtube.com/watch?v=XhSGd8NkEQQ;https://www.youtube.com/watch?v=XhSGd8NkEQQ;filmster://result?id=366;https://filmster.b-cdn.net/366/Filmster_366_DE_Video-1.mp4;https://filmster.b-cdn.net/366/Filmster_366_EN_Video-1.mp4;https://filmster.b-cdn.net/366/Filmster_366_DE_Video-2.mp4;https://filmster.b-cdn.net/366/Filmster_366_EN_Video-2.mp4;;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_366_QR.png
367;Bibi Blocksberg;Bibi Blocksberg;2002;Hermine Huntgeburth;Sidonie von Krosigk, Katja Riemann, Corinna Harfouch;Germany;Nein;5,3;Bavaria Film, Odeon Film;Comedy, Family, Fantasy;;https://www.youtube.com/watch?v=MNZHlMX8ScQ;https://www.youtube.com/watch?v=MNZHlMX8ScQ;filmster://result?id=367;https://filmster.b-cdn.net/367/Filmster_367_DE_Video-1.mp4;https://filmster.b-cdn.net/367/Filmster_367_EN_Video-1.mp4;https://filmster.b-cdn.net/367/Filmster_367_DE_Video-2.mp4;https://filmster.b-cdn.net/367/Filmster_367_EN_Video-2.mp4;https://filmster.b-cdn.net/367/Filmster_367_DE_Video-3.mp4;https://filmster.b-cdn.net/367/Filmster_367_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_367_QR.png
