Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
001;Avatar;Avatar - Aufbruch nach Pandora;2009;James Cameron;Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Michelle Rodriguez;USA, UK;Nein;7,9;Dune Entertainment;Action, Abenteuer, Fantasy, Science Fiction;$2,923,706,026;https://www.youtube.com/watch?v=5PSNL1qE6VY;https://www.youtube.com/watch?v=EYHuoBjmQQg;filmster://result?id=001;https://filmster.b-cdn.net/001/Filmster_001_DE_Video-1.mp4;https://filmster.b-cdn.net/001/Filmster_001_EN_Video-1.mp4;https://filmster.b-cdn.net/001/Filmster_001_DE_Video-2.mp4;https://filmster.b-cdn.net/001/Filmster_001_EN_Video-2.mp4;https://filmster.b-cdn.net/001/Filmster_001_DE_Video-3.mp4;https://filmster.b-cdn.net/001/Filmster_001_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_001_QR.png
002;Titanic;Titanic;1997;James Cameron;Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher;USA;Nein;7,9;Paramount Pictures;Drama, Liebesfilm;$2,264,162,353;https://www.youtube.com/watch?v=CHekzSiZjrY;https://www.youtube.com/watch?v=Zkk0pda7dOY;filmster://result?id=002;https://filmster.b-cdn.net/002/Filmster_002_DE_Video-1.mp4;https://filmster.b-cdn.net/002/Filmster_002_EN_Video-1.mp4;https://filmster.b-cdn.net/002/Filmster_002_DE_Video-2.mp4;https://filmster.b-cdn.net/002/Filmster_002_EN_Video-2.mp4;https://filmster.b-cdn.net/002/Filmster_002_DE_Video-3.mp4;https://filmster.b-cdn.net/002/Filmster_002_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_002_QR.png
003;Avengers: Endgame;Avengers: Endgame;2019;Anthony Russo;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson;USA;Ja;8,4;Marvel Studios;Abenteuer, Science Fiction, Action;$2,799,439,100;https://www.youtube.com/watch?v=TcMBFSGVi1c;https://www.youtube.com/watch?v=EJJedP2_7_k;filmster://result?id=003;https://filmster.b-cdn.net/003/Filmster_003_DE_Video-1.mp4;https://filmster.b-cdn.net/003/Filmster_003_EN_Video-1.mp4;https://filmster.b-cdn.net/003/Filmster_003_DE_Video-2.mp4;https://filmster.b-cdn.net/003/Filmster_003_EN_Video-2.mp4;https://filmster.b-cdn.net/003/Filmster_003_DE_Video-3.mp4;https://filmster.b-cdn.net/003/Filmster_003_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_003_QR.png
004;Star Wars: Episode VII , The Force Awakens;Star Wars: Das Erwachen der Macht;2015;J.J. Abrams;Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley;USA, UK;Nein;7,8;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$2,068,223,624;https://www.youtube.com/watch?v=sGbxmsDFVnE;https://www.youtube.com/watch?v=1pUXILfY0rg;filmster://result?id=004;https://filmster.b-cdn.net/004/Filmster_004_DE_Video-1.mp4;https://filmster.b-cdn.net/004/Filmster_004_EN_Video-1.mp4;https://filmster.b-cdn.net/004/Filmster_004_DE_Video-2.mp4;https://filmster.b-cdn.net/004/Filmster_004_EN_Video-2.mp4;https://filmster.b-cdn.net/004/Filmster_004_DE_Video-3.mp4;https://filmster.b-cdn.net/004/Filmster_004_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_004_QR.png
005;Jurassic Park;Jurassic Park;1993;Steven Spielberg;Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck;USA;Ja;8,2;Universal Pictures;Abenteuer, Science Fiction;$920,100,000;https://www.youtube.com/watch?v=_jKEqDKpJLw;https://www.youtube.com/watch?v=cjw0LgY7ylk;filmster://result?id=005;https://filmster.b-cdn.net/005/Filmster_005_DE_Video-1.mp4;https://filmster.b-cdn.net/005/Filmster_005_EN_Video-1.mp4;https://filmster.b-cdn.net/005/Filmster_005_DE_Video-2.mp4;;https://filmster.b-cdn.net/005/Filmster_005_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_005_QR.png
006;The Lion King;Der König der Löwen;1994;Roger Allers;Matthew Broderick, Moira Kelly, Nathan Lane, Ernie Sabella, James Earl Jones;USA;Ja;8,5;Walt Disney Pictures;Familie, Animation, Drama;$763,455,561;https://www.youtube.com/watch?v=lFzVJEksoDY;https://www.youtube.com/watch?v=KJjqKPefJDg;filmster://result?id=006;https://filmster.b-cdn.net/006/Filmster_006_DE_Video-1.mp4;https://filmster.b-cdn.net/006/Filmster_006_EN_Video-1.mp4;https://filmster.b-cdn.net/006/Filmster_006_DE_Video-2.mp4;https://filmster.b-cdn.net/006/Filmster_006_EN_Video-2.mp4;;https://filmster.b-cdn.net/006/Filmster_006_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_006_QR.png
007;Harry Potter and the Sorcerer's Stone;Harry Potter und der Stein der Weisen;2001;Chris Columbus;Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton;UK, USA;Nein;7,7;Warner Bros. Pictures;Abenteuer, Fantasy;$976,475,550;https://www.youtube.com/watch?v=VyHV0BRtdxo;https://www.youtube.com/watch?v=vAKb6OySiks;filmster://result?id=007;https://filmster.b-cdn.net/007/Filmster_007_DE_Video-1.mp4;https://filmster.b-cdn.net/007/Filmster_007_EN_Video-1.mp4;https://filmster.b-cdn.net/007/Filmster_007_DE_Video-2.mp4;https://filmster.b-cdn.net/007/Filmster_007_EN_Video-2.mp4;https://filmster.b-cdn.net/007/Filmster_007_DE_Video-3.mp4;https://filmster.b-cdn.net/007/Filmster_007_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_007_QR.png
008;The Lord of the Rings: The Return of the King;Der Herr der Ringe - Die Rückkehr des Königs;2003;Peter Jackson;Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis;New Zealand, USA;Ja;9;New Line Cinema;Abenteuer, Fantasy, Action;$1,118,888,979;https://www.youtube.com/watch?v=r5X-hFf6Bwo;https://www.youtube.com/watch?v=p6IjSLFExiw;filmster://result?id=008;https://filmster.b-cdn.net/008/Filmster_008_DE_Video-1.mp4;https://filmster.b-cdn.net/008/Filmster_008_EN_Video-1.mp4;https://filmster.b-cdn.net/008/Filmster_008_DE_Video-2.mp4;https://filmster.b-cdn.net/008/Filmster_008_EN_Video-2.mp4;https://filmster.b-cdn.net/008/Filmster_008_DE_Video-3.mp4;https://filmster.b-cdn.net/008/Filmster_008_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_008_QR.png
009;Frozen;Die Eiskönigin - Völlig unverfroren;2013;Chris Buck;Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad, Livvy Stubenrauch;USA;Nein;7,4;Walt Disney Pictures;Animation, Familie, Abenteuer, Fantasy;$1,274,219,009;https://www.youtube.com/watch?v=TbQm5doF_Uc;https://www.youtube.com/watch?v=xQxBqo_kRWE;filmster://result?id=009;https://filmster.b-cdn.net/009/Filmster_009_DE_Video-1.mp4;https://filmster.b-cdn.net/009/Filmster_009_EN_Video-1.mp4;https://filmster.b-cdn.net/009/Filmster_009_DE_Video-2.mp4;https://filmster.b-cdn.net/009/Filmster_009_EN_Video-2.mp4;https://filmster.b-cdn.net/009/Filmster_009_DE_Video-3.mp4;https://filmster.b-cdn.net/009/Filmster_009_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_009_QR.png
010;E.T. the Extra-Terrestrial;E.T. - Der Ausserirdische;1982;Steven Spielberg;Henry Thomas, Drew Barrymore, Robert MacNaughton, Peter Coyote, Dee Wallace;USA;Nein;7,9;Universal Pictures;Science Fiction, Abenteuer, Familie, Fantasy;$792,965,500;https://www.youtube.com/watch?v=qYAETtIIClk;https://www.youtube.com/watch?v=dF6dxndHco4;filmster://result?id=010;https://filmster.b-cdn.net/010/Filmster_010_DE_Video-1.mp4;https://filmster.b-cdn.net/010/Filmster_010_EN_Video-1.mp4;https://filmster.b-cdn.net/010/Filmster_010_DE_Video-2.mp4;https://filmster.b-cdn.net/010/Filmster_010_EN_Video-2.mp4;https://filmster.b-cdn.net/010/Filmster_010_DE_Video-3.mp4;https://filmster.b-cdn.net/010/Filmster_010_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_010_QR.png
011;Spider-Man: No Way Home;Spider-Man: No Way Home;2021;Jon Watts;Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau;USA;Ja;8,2;Marvel Studios;Action, Abenteuer, Science Fiction;$1,921,847,111;https://www.youtube.com/watch?v=JfVOs4VSpmA;https://www.youtube.com/watch?v=PUTab3vP8MI;filmster://result?id=011;https://filmster.b-cdn.net/011/Filmster_011_DE_Video-1.mp4;https://filmster.b-cdn.net/011/Filmster_011_EN_Video-1.mp4;https://filmster.b-cdn.net/011/Filmster_011_DE_Video-2.mp4;https://filmster.b-cdn.net/011/Filmster_011_EN_Video-2.mp4;https://filmster.b-cdn.net/011/Filmster_011_DE_Video-3.mp4;https://filmster.b-cdn.net/011/Filmster_011_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_011_QR.png
012;The Dark Knight;The Dark Knight;2008;Christopher Nolan;Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal;USA, UK;Ja;9;Warner Bros. Pictures;Drama, Action, Krimi, Thriller;$1,004,558,444;https://www.youtube.com/watch?v=EXeTwQWrcwY;https://www.youtube.com/watch?v=8vvYFwO0VQQ;filmster://result?id=012;https://filmster.b-cdn.net/012/Filmster_012_DE_Video-1.mp4;https://filmster.b-cdn.net/012/Filmster_012_EN_Video-1.mp4;https://filmster.b-cdn.net/012/Filmster_012_DE_Video-2.mp4;https://filmster.b-cdn.net/012/Filmster_012_EN_Video-2.mp4;https://filmster.b-cdn.net/012/Filmster_012_DE_Video-3.mp4;https://filmster.b-cdn.net/012/Filmster_012_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_012_QR.png
013;Independence Day;Independence Day;1996;Roland Emmerich;Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Judd Hirsch;USA;Nein;7;20th Century Fox;Action, Abenteuer, Science Fiction;$817,400,891;https://www.youtube.com/watch?v=B1E7h3SeMDk;https://www.youtube.com/watch?v=M8ZS3MJpZCE;filmster://result?id=013;https://filmster.b-cdn.net/013/Filmster_013_DE_Video-1.mp4;https://filmster.b-cdn.net/013/Filmster_013_EN_Video-1.mp4;https://filmster.b-cdn.net/013/Filmster_013_DE_Video-2.mp4;https://filmster.b-cdn.net/013/Filmster_013_EN_Video-2.mp4;https://filmster.b-cdn.net/013/Filmster_013_DE_Video-3.mp4;https://filmster.b-cdn.net/013/Filmster_013_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_013_QR.png
014;Inception;Inception;2010;Christopher Nolan;Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page;USA, UK;Ja;8,8;Legendary Pictures;Action, Science Fiction, Abenteuer;$839,030,630;https://www.youtube.com/watch?v=YoHD9XEInc0;https://www.youtube.com/watch?v=dHTyZ9Bmp0c;filmster://result?id=014;https://filmster.b-cdn.net/014/Filmster_014_DE_Video-1.mp4;https://filmster.b-cdn.net/014/Filmster_014_EN_Video-1.mp4;https://filmster.b-cdn.net/014/Filmster_014_DE_Video-2.mp4;https://filmster.b-cdn.net/014/Filmster_014_EN_Video-2.mp4;https://filmster.b-cdn.net/014/Filmster_014_DE_Video-3.mp4;https://filmster.b-cdn.net/014/Filmster_014_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_014_QR.png
015;Finding Nemo;Findet Nemo;2003;Andrew Stanton;Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Geoffrey Rush;USA, Japan, Australia;Ja;8,2;Pixar;Animation, Familie;$940,335,536;https://www.youtube.com/watch?v=9oQ628Seb9w;https://www.youtube.com/watch?v=3AdtwBjk12Y;filmster://result?id=015;https://filmster.b-cdn.net/015/Filmster_015_DE_Video-1.mp4;https://filmster.b-cdn.net/015/Filmster_015_EN_Video-1.mp4;https://filmster.b-cdn.net/015/Filmster_015_DE_Video-2.mp4;https://filmster.b-cdn.net/015/Filmster_015_EN_Video-2.mp4;https://filmster.b-cdn.net/015/Filmster_015_DE_Video-3.mp4;https://filmster.b-cdn.net/015/Filmster_015_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_015_QR.png
016;Star Wars: Episode I , The Phantom Menace;Star Wars: Episode I - Die dunkle Bedrohung;1999;George Lucas;Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Ian McDiarmid;USA, UK;Nein;6,5;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$924,317,558;https://www.youtube.com/watch?v=bD7bpG-zDJQ;https://www.youtube.com/watch?v=1uOWs2e7-wA;filmster://result?id=016;https://filmster.b-cdn.net/016/Filmster_016_DE_Video-1.mp4;https://filmster.b-cdn.net/016/Filmster_016_EN_Video-1.mp4;;https://filmster.b-cdn.net/016/Filmster_016_EN_Video-2.mp4;;https://filmster.b-cdn.net/016/Filmster_016_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_016_QR.png
017;The Matrix;Matrix;1999;Lana Wachowski;Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster;USA, Australia;Ja;8,7;Village Roadshow Pictures;Action, Science Fiction;$463,517,383;https://www.youtube.com/watch?v=vKQi3bBA1y8;https://www.youtube.com/watch?v=ETvkaFGs6d4;filmster://result?id=017;https://filmster.b-cdn.net/017/Filmster_017_DE_Video-1.mp4;https://filmster.b-cdn.net/017/Filmster_017_EN_Video-1.mp4;https://filmster.b-cdn.net/017/Filmster_017_DE_Video-2.mp4;https://filmster.b-cdn.net/017/Filmster_017_EN_Video-2.mp4;https://filmster.b-cdn.net/017/Filmster_017_DE_Video-3.mp4;https://filmster.b-cdn.net/017/Filmster_017_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_017_QR.png
018;Forrest Gump;Forrest Gump;1994;Robert Zemeckis;Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson;USA;Ja;8,8;Paramount Pictures;Komedie, Drama, Liebesfilm;$677,387,716;https://www.youtube.com/watch?v=XHhAG-YLdk8;https://www.youtube.com/watch?v=Ht25E2_WNHE;filmster://result?id=018;https://filmster.b-cdn.net/018/Filmster_018_DE_Video-1.mp4;https://filmster.b-cdn.net/018/Filmster_018_EN_Video-1.mp4;https://filmster.b-cdn.net/018/Filmster_018_DE_Video-2.mp4;https://filmster.b-cdn.net/018/Filmster_018_EN_Video-2.mp4;;https://filmster.b-cdn.net/018/Filmster_018_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_018_QR.png
019;The Hunger Games;Die Tribute von Panem - The Hunger Games;2012;Gary Ross;Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks;USA;Nein;7,2;Lionsgate;Science Fiction, Abenteuer, Action;$694,394,724;https://www.youtube.com/watch?v=mfmrPu43DF8;https://www.youtube.com/watch?v=H2V3W92ncRg;filmster://result?id=019;https://filmster.b-cdn.net/019/Filmster_019_DE_Video-1.mp4;https://filmster.b-cdn.net/019/Filmster_019_EN_Video-1.mp4;https://filmster.b-cdn.net/019/Filmster_019_DE_Video-2.mp4;https://filmster.b-cdn.net/019/Filmster_019_EN_Video-2.mp4;https://filmster.b-cdn.net/019/Filmster_019_DE_Video-3.mp4;https://filmster.b-cdn.net/019/Filmster_019_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_019_QR.png
020;Top Gun: Maverick;Top Gun: Maverick;2022;Joseph Kosinski;Tom Cruise, Val Kilmer, Miles Teller, Jennifer Connelly, Bashir Salahuddin;USA;Ja;8,2;Skydance Media;Action, Drama;$1,488,732,821;https://www.youtube.com/watch?v=giXco2jaZ_4;https://www.youtube.com/watch?v=xKZI_KfPbDQ;filmster://result?id=020;https://filmster.b-cdn.net/020/Filmster_020_DE_Video-1.mp4;https://filmster.b-cdn.net/020/Filmster_020_EN_Video-1.mp4;https://filmster.b-cdn.net/020/Filmster_020_DE_Video-2.mp4;https://filmster.b-cdn.net/020/Filmster_020_EN_Video-2.mp4;https://filmster.b-cdn.net/020/Filmster_020_DE_Video-3.mp4;https://filmster.b-cdn.net/020/Filmster_020_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_020_QR.png
021;Beauty and the Beast;Die Schöne und das Biest;1991;Gary Trousdale;Paige O'Hara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers;USA, Japan;Ja;8;Walt Disney Pictures;Liebesfilm, Familie, Animation, Fantasy;$424,967,620;https://www.youtube.com/watch?v=iurbZwxKFUE;https://www.youtube.com/watch?v=pftrokoACnk;filmster://result?id=021;https://filmster.b-cdn.net/021/Filmster_021_DE_Video-1.mp4;https://filmster.b-cdn.net/021/Filmster_021_EN_Video-1.mp4;https://filmster.b-cdn.net/021/Filmster_021_DE_Video-2.mp4;https://filmster.b-cdn.net/021/Filmster_021_EN_Video-2.mp4;https://filmster.b-cdn.net/021/Filmster_021_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_021_QR.png
022;Minions;Minions;2015;Kyle Balda;Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan;USA, France;Nein;6,4;Illumination;Familie, Animation, Abenteuer, Komedie;$1,159,457,503;https://www.youtube.com/watch?v=eisKxhjBnZ0;https://www.youtube.com/watch?v=J0pGQYtLyyQ;filmster://result?id=022;https://filmster.b-cdn.net/022/Filmster_022_DE_Video-1.mp4;https://filmster.b-cdn.net/022/Filmster_022_EN_Video-1.mp4;https://filmster.b-cdn.net/022/Filmster_022_DE_Video-2.mp4;https://filmster.b-cdn.net/022/Filmster_022_EN_Video-2.mp4;https://filmster.b-cdn.net/022/Filmster_022_DE_Video-3.mp4;https://filmster.b-cdn.net/022/Filmster_022_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_022_QR.png
023;Toy Story 3;Toy Story 3;2010;Lee Unkrich;Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn;USA;Ja;8,3;Pixar;Animation, Familie, Komedie;$1,067,316,101;https://www.youtube.com/watch?v=2BlMNH1QTeE;https://www.youtube.com/watch?v=KokUcFZtj3E;filmster://result?id=023;https://filmster.b-cdn.net/023/Filmster_023_DE_Video-1.mp4;https://filmster.b-cdn.net/023/Filmster_023_EN_Video-1.mp4;https://filmster.b-cdn.net/023/Filmster_023_DE_Video-2.mp4;https://filmster.b-cdn.net/023/Filmster_023_EN_Video-2.mp4;https://filmster.b-cdn.net/023/Filmster_023_DE_Video-3.mp4;https://filmster.b-cdn.net/023/Filmster_023_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_023_QR.png
024;Pirates of the Caribbean: Dead Man's Chest;Pirates of the Caribbean - Fluch der Karibik 2;2006;Gore Verbinski;Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy;USA;Nein;7,4;Walt Disney Pictures;Abenteuer, Fantasy, Action;$1,066,179,747;https://www.youtube.com/watch?v=SNA-Ezahmok;https://www.youtube.com/watch?v=WPYawEREIj8;filmster://result?id=024;https://filmster.b-cdn.net/024/Filmster_024_DE_Video-1.mp4;https://filmster.b-cdn.net/024/Filmster_024_EN_Video-1.mp4;https://filmster.b-cdn.net/024/Filmster_024_DE_Video-2.mp4;https://filmster.b-cdn.net/024/Filmster_024_EN_Video-2.mp4;https://filmster.b-cdn.net/024/Filmster_024_DE_Video-3.mp4;https://filmster.b-cdn.net/024/Filmster_024_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_024_QR.png
025;Bohemian Rhapsody;Bohemian Rhapsody;2018;Bryan Singer;Rami Malek, Gwilym Lee, Ben Hardy, Joseph Mazzello, Lucy Boynton;UK, USA;Nein;7,9;20th Century Fox;Musik, Drama;$910,813,521;https://www.youtube.com/watch?v=mP0VHJYFOAU;https://www.youtube.com/watch?v=Dfavrtbcr2c;filmster://result?id=025;https://filmster.b-cdn.net/025/Filmster_025_DE_Video-1.mp4;https://filmster.b-cdn.net/025/Filmster_025_EN_Video-1.mp4;https://filmster.b-cdn.net/025/Filmster_025_DE_Video-2.mp4;https://filmster.b-cdn.net/025/Filmster_025_EN_Video-2.mp4;https://filmster.b-cdn.net/025/Filmster_025_DE_Video-3.mp4;https://filmster.b-cdn.net/025/Filmster_025_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_025_QR.png
026;The Lord of the Rings: The Two Towers;Der Herr der Ringe - Die zwei Türme;2002;Peter Jackson;Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis;New Zealand, USA;Ja;8,8;New Line Cinema;Abenteuer, Fantasy, Action;$926,287,400;https://www.youtube.com/watch?v=LbfMDwc4azU;https://www.youtube.com/watch?v=jlwiZZeUU9k;filmster://result?id=026;https://filmster.b-cdn.net/026/Filmster_026_DE_Video-1.mp4;https://filmster.b-cdn.net/026/Filmster_026_EN_Video-1.mp4;https://filmster.b-cdn.net/026/Filmster_026_DE_Video-2.mp4;https://filmster.b-cdn.net/026/Filmster_026_EN_Video-2.mp4;https://filmster.b-cdn.net/026/Filmster_026_DE_Video-3.mp4;https://filmster.b-cdn.net/026/Filmster_026_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_026_QR.png
027;Black Panther;Black Panther;2018;Ryan Coogler;Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman;USA;Nein;7,3;Marvel Studios;Action, Abenteuer, Science Fiction;$1,349,926,083;https://www.youtube.com/watch?v=xjDjIWPwcPU;https://www.youtube.com/watch?v=pxgLR99TWAk;filmster://result?id=027;https://filmster.b-cdn.net/027/Filmster_027_DE_Video-1.mp4;https://filmster.b-cdn.net/027/Filmster_027_EN_Video-1.mp4;https://filmster.b-cdn.net/027/Filmster_027_DE_Video-2.mp4;https://filmster.b-cdn.net/027/Filmster_027_EN_Video-2.mp4;https://filmster.b-cdn.net/027/Filmster_027_DE_Video-3.mp4;https://filmster.b-cdn.net/027/Filmster_027_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_027_QR.png
028;Frozen II;Die Eiskönigin 2;2019;Jennifer Lee;Idina Menzel, Kristen Bell, Josh Gad, Jonathan Groff, Evan Rachel Wood;USA, Japan;Nein;6,8;Walt Disney Pictures;Familie, Animation, Abenteuer, Komedie, Fantasy;$1,453,683,476;https://www.youtube.com/watch?v=Zi4LMpSDccc;https://www.youtube.com/watch?v=V40R8hR5org;filmster://result?id=028;https://filmster.b-cdn.net/028/Filmster_028_DE_Video-1.mp4;https://filmster.b-cdn.net/028/Filmster_028_EN_Video-1.mp4;https://filmster.b-cdn.net/028/Filmster_028_DE_Video-2.mp4;https://filmster.b-cdn.net/028/Filmster_028_EN_Video-2.mp4;https://filmster.b-cdn.net/028/Filmster_028_DE_Video-3.mp4;https://filmster.b-cdn.net/028/Filmster_028_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_028_QR.png
029;The Lord of the Rings: The Fellowship of the Ring;Der Herr der Ringe - Die Gefährten;2001;Peter Jackson;Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm;New Zealand, USA, UK;Ja;8,9;New Line Cinema;Abenteuer, Fantasy, Action;$871,368,364;https://www.youtube.com/watch?v=V75dMMIW2B4;https://www.youtube.com/watch?v=PMQaJpQXmDc;filmster://result?id=029;https://filmster.b-cdn.net/029/Filmster_029_DE_Video-1.mp4;https://filmster.b-cdn.net/029/Filmster_029_EN_Video-1.mp4;https://filmster.b-cdn.net/029/Filmster_029_DE_Video-2.mp4;https://filmster.b-cdn.net/029/Filmster_029_EN_Video-2.mp4;https://filmster.b-cdn.net/029/Filmster_029_DE_Video-3.mp4;https://filmster.b-cdn.net/029/Filmster_029_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_029_QR.png
030;Star Wars: Episode III , Revenge of the Sith;Star Wars: Episode III - Die Rache der Sith;2005;George Lucas;Hayden Christensen, Ewan McGregor, Natalie Portman, Ian McDiarmid, Samuel L. Jackson;USA, Italy, Switzerland, Thailand, UK;Nein;7,6;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$850,000,000;https://www.youtube.com/watch?v=5UnjrG_N8hU;https://www.youtube.com/watch?v=2P_kaYqH8qk;filmster://result?id=030;https://filmster.b-cdn.net/030/Filmster_030_DE_Video-1.mp4;https://filmster.b-cdn.net/030/Filmster_030_EN_Video-1.mp4;;https://filmster.b-cdn.net/030/Filmster_030_EN_Video-2.mp4;;https://filmster.b-cdn.net/030/Filmster_030_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_030_QR.png
031;Despicable Me 2;Ich - Einfach unverbesserlich 2;2013;Chris Renaud;Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Russell Brand;USA, France;Nein;7,3;Illumination;Animation, Komedie, Familie;$970,766,005;https://www.youtube.com/watch?v=yM9sKpQOuEw;https://www.youtube.com/watch?v=EaZSqUckt64;filmster://result?id=031;https://filmster.b-cdn.net/031/Filmster_031_DE_Video-1.mp4;https://filmster.b-cdn.net/031/Filmster_031_EN_Video-1.mp4;https://filmster.b-cdn.net/031/Filmster_031_DE_Video-2.mp4;https://filmster.b-cdn.net/031/Filmster_031_EN_Video-2.mp4;https://filmster.b-cdn.net/031/Filmster_031_DE_Video-3.mp4;https://filmster.b-cdn.net/031/Filmster_031_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_031_QR.png
